run	int 0.10	int 0.50	int 0.95	int 0.98	Asymptote
6552	16.6559	26.3997	39.7274	44.5184	0.996039	0.000140241
6553	16.5865	26.2929	39.5669	44.3433	0.996006	0.000141158
6554	16.629	26.3493	39.6458	44.4138	0.996121	0.000128876
6555	16.5472	26.2309	39.4601	44.1653	0.99639	0.000125719
6556	16.8618	26.4396	39.5546	44.2801	0.995967	0.000130315
6557	16.5717	26.3492	39.7127	44.4937	0.996195	0.000144135
6558	16.7743	26.3578	39.4471	44.132	0.996179	0.000135451
6559	16.5036	26.2316	39.5307	44.2921	0.996171	0.000138533
6560	16.4386	26.1	39.3007	44.0139	0.996262	0.00013393
6561	16.5472	26.4319	39.9568	44.8004	0.996165	0.000133305
6562	16.5756	26.3843	39.7918	44.5728	0.996304	0.000137788
6563	16.4942	26.4242	39.9951	44.8475	0.996214	0.000137978
6564	16.6916	26.2724	39.3937	44.1333	0.995885	0.000139201
6565	16.467	26.2305	39.5904	44.3807	0.996125	0.000137854
6566	16.4551	26.2126	39.5639	44.3489	0.99614	0.000127821
6567	16.511	26.3313	39.7506	44.5406	0.996271	0.000131225
6568	15.5959	25.3471	38.6899	43.4936	0.995991	0.000141565
6569	15.5921	25.4316	38.9065	43.7651	0.995944	0.000135037
6571	15.6787	25.3677	38.6263	43.4228	0.995832	0.00014567
6572	15.6065	25.1714	38.2343	42.9032	0.996225	0.000138321
6626	15.5601	25.2845	38.5804	43.3486	0.996117	0.000135064
6627	15.4504	25.2603	38.7125	43.572	0.995886	0.000132273
6629	15.4865	25.2146	38.5489	43.391	0.995715	0.000137537
6630	15.6666	25.29	38.5031	43.3542	0.995368	0.000144295
6632	15.5669	25.1899	38.4143	43.2709	0.995362	0.00013596
6633	15.5977	25.4291	38.8833	43.7245	0.996009	0.000136678
6635	15.5304	25.1169	38.2871	43.1287	0.995328	0.000142733
6636	15.7316	25.327	38.5316	43.4094	0.99518	0.000132146
6642	15.623	25.1276	38.1905	43.0228	0.995132	0.000147314
6643	15.6088	25.1709	38.3092	43.1321	0.995375	0.000137653
6686	15.6237	25.2425	38.4399	43.2419	0.995654	0.000128333
6739	15.7671	25.3049	38.3591	43.0797	0.995847	0.000140758
6740	15.7846	25.3746	38.5428	43.3876	0.995301	0.000144452
6742	15.7355	25.3504	38.5804	43.4602	0.995228	0.000135328
6743	15.7449	25.2905	38.3894	43.1579	0.995639	0.00012567
6778	15.6949	25.4686	38.8783	43.7672	0.99559	0.000136897
6830	15.5749	25.3092	38.6453	43.4637	0.995878	0.000127076
6831	15.7683	25.3168	38.4555	43.2944	0.995274	0.000128919
6833	15.5825	25.2481	38.5307	43.412	0.99534	0.000135538
6834	15.4896	25.317	38.788	43.6545	0.995884	0.000131933
6890	15.8163	25.3226	38.3272	43.0104	0.995981	0.000137116
6943	15.663	25.2914	38.4651	43.2347	0.995807	0.000153808
6944	15.6389	25.3332	38.6695	43.5628	0.995393	0.00012804
6946	15.6665	25.4557	38.9092	43.8526	0.995344	0.00013175
6947	15.6892	25.3109	38.4969	43.2765	0.995774	0.000136287
7055	15.7008	25.4522	38.8308	43.6891	0.995717	0.000129787
7056	15.5865	25.321	38.7001	43.6009	0.995444	0.000133443
7058	15.7978	25.4374	38.6854	43.5477	0.99538	0.000136936
7059	15.6566	25.5862	39.1844	44.0906	0.995922	0.00014033
7127	15.7908	25.5328	38.8941	43.7464	0.995714	0.000129856
7206	16.0536	25.6731	38.8517	43.606	0.995927	0.000127346
7207	15.8917	25.5678	38.868	43.746	0.995404	0.000126223
7210	15.8611	25.6087	38.9671	43.8228	0.995683	0.000139434
7211	15.8696	25.6319	38.9929	43.8102	0.995944	0.000138796
7249	15.7807	25.5708	38.9483	43.7288	0.996232	0.000135373
7302	15.7832	25.4892	38.8057	43.6688	0.995536	0.000140418
7303	15.774	25.3634	38.5237	43.3414	0.995459	0.000145033
7307	16.0047	25.6627	38.933	43.7925	0.995452	0.000131176
7308	15.7743	25.6208	39.0986	43.9616	0.995919	0.000137118
7350	15.6277	25.4845	38.9893	43.8614	0.995927	0.000128748
7421	15.857	25.5831	38.9192	43.7278	0.995947	0.000125288
7422	15.927	25.4998	38.6498	43.4431	0.995599	0.000126036
7427	16.0628	25.5896	38.6735	43.4397	0.995619	0.000122115
7428	15.7596	25.5174	38.8913	43.732	0.995821	0.000144389
7474	15.8818	25.5643	38.8157	43.5938	0.995942	0.000134329
7475	15.8236	25.5233	38.8225	43.6574	0.995678	0.000133704
7479	15.7504	25.4158	38.6751	43.5075	0.9956	0.000138039
7481	15.8011	25.5022	38.7773	43.5334	0.996152	0.000126465
7485	15.8277	25.4574	38.633	43.3698	0.996037	0.000134176
7486	15.8633	25.4404	38.5349	43.2091	0.996271	0.000124012
7529	15.7368	25.3209	38.3989	43.0456	0.996421	0.00013449
7586	15.7347	25.3357	38.4225	43.0356	0.996685	0.000126134
7587	15.8076	25.3886	38.472	43.1364	0.99631	0.000143569
7591	15.6954	25.3061	38.4576	43.1836	0.996053	0.000131635
7592	15.5461	25.0672	38.0654	42.6827	0.99643	0.000127966
